Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
238203,OIE,48.165195,40.820831,Europe,Russian Federation,Rostovskaya Oblast,"AO ""Ptitsefabrika Belokalitvinskaya"",  ",Exact,04/07/2018,11/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",616000,6054,6054,,,,0,,
238202,OIE,53.234672,36.22567,Europe,Russian Federation,Orlovskaya Oblast,Apalkovo,Exact,26/06/2018,11/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",50,35,35,15,,,0,,
238201,OIE,52.738398,36.424801,Europe,Russian Federation,Orlovskaya Oblast,Novopetrovka ,Exact,26/06/2018,11/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",80,7,7,73,,,0,,
238200,OIE,52.68194,37.224308,Europe,Russian Federation,Orlovskaya Oblast," Bolshoy Sinkovets ",Exact,26/06/2018,11/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",71,3,3,68,,,0,,
238007,OIE,49.0961,1.791,Europe,France,Ile-de-France,Arthies,Exact,06/06/2018,09/07/2018,Confirmed,Influenza - Avian,H7N7 LPAI,"domestic, duck",10000,,0,0,,,,,
238006,EC,43.606218,27.605478,Europe,Bulgaria,Dobrich,Miladinovo village,Centroid Admin2,05/06/2018,10/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",62,,,62,,,,,
237860,OIE,54.51832,33.478144,Europe,Russian Federation,Smolenskaya Oblast,Pronino ,Exact,28/06/2018,04/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",64,22,22,4,,,0,,
237859,OIE,54.564144,33.317694,Europe,Russian Federation,Smolenskaya Oblast,Pronino ,Exact,28/06/2018,04/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",87,25,25,,,,0,,
237858,OIE,51.312462,35.044537,Europe,Russian Federation,Kurskaya Oblast,Lubimovka ,Exact,24/06/2018,04/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",152,9,9,,,,0,,
237857,OIE,53.471464,51.481551,Europe,Russian Federation,Samarskaya Oblast," Kinel-CHerkassy ",Exact,24/06/2018,04/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",44,5,4,40,,,0,,
237856,OIE,53.421917,51.734247,Europe,Russian Federation,Samarskaya Oblast,"Poludni, Kinel-CHerkasskiy",Exact,16/06/2018,04/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",98,25,25,73,,,0,,
237691,OIE,6.56869,-0.79021,Africa,Ghana,Eastern,Nkawkaw ,Exact,18/06/2018,26/06/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",2188,2188,504,1639,45,,0,,
237683,National authorities,32.538708,117.896831,Asia,China,Anhui Sheng,Chuzhou,Centroid Admin2,,29/06/2018,Confirmed,Influenza - Avian,H7N9 LPAI,"domestic, chicken",,1,,,,,0,,
237681,OIE,23.73684,120.27445,Asia,Taiwan (Province of China),Taiwan Sheng,Mailiao Township ,Exact,21/06/2018,26/06/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, duck",2212,205,205,2007,,,0,,
